"date" "month" "week" "day" "year" "FirmEnergy" "NonFirmEnergy" "ColFallsFlow" "LowerGraniteFlow" "VernitaBarFlow" "McNaryFlow" "GCRec" "DallesFlood" "IHNav" "BonnevillFlow" "ExtraSpace" "FirmEnergySales" "NonFirmSpotSales" "TotalSysEnergy"
1950-08-06 8 1 6 1950 0 0 0 0 0 0 0 0 23792.9978730224 0 0 NA NA 3580224.26719929
1950-08-13 8 2 13 1950 0 0 0 0 0 0 0 0 8963.09350015374 0 0 NA NA 3462561.41557511
1950-08-20 8 3 20 1950 0 609245.07485175 107.292476080916 4216.93112409458 0 76595.4530765498 0 0 56523.6206613472 0 1597101 NA NA 2217317.44914825
1950-08-27 8 4 27 1950 0 811002.05071063 638.923686614817 12791.3700531092 0 84854.5624955385 0 0 65292.3365974866 0 1995912 NA NA 1973879.33728937
1950-09-03 9 5 3 1950 0 761635.243436206 770.953001351683 12982.1542258699 0 87833.7236301984 0 0 65026.7063749324 0 2481012.40481061 NA NA 2023246.14456379
1950-09-10 9 6 10 1950 0 839602.143455735 941.74532858905 0 0 0 0 0 66290.6864689655 0 3145387.49132384 NA NA 1889072.50854426
1950-09-17 9 7 17 1950 0 930885.597910366 594.664610601107 0 8963.14048938687 0 1.11435194820206 0 50603.7588178588 0 3649457.50144245 NA NA 1797789.05408963
1950-09-24 9 8 24 1950 0 932860.967250064 0 0 5430.38360596257 0 0 0 56203.9384166203 0 3999569.07369075 NA NA 1795813.68474994
1950-10-01 10 9 1 1950 229586.795070909 987991.02 0 0 18011.9823009722 0 0 0 65604.6264550509 0 4370880.01321028 NA NA 1509356.15329709
1950-10-08 10 10 8 1950 231335.414837505 1124594.28 2485.66323590226 0 21193.1024079309 0 0 0 66257.165202959 0 4368113.87845328 NA NA 1394586.1560425
1950-10-15 10 11 15 1950 178831.032223544 1124594.28 1874.21990608846 0 19215.7124043052 0 0 0 65181.337683475 0 4418329.62121837 NA NA 1447090.53865646
1950-10-22 10 12 22 1950 56674.6438774162 1124594.28 2191.89096354813 0 8075.42177801197 0 0 0 65321.1524300053 0 4407830.77349982 NA NA 1569246.92700258
1950-10-29 10 13 29 1950 73124.6356519277 1124594.28 2071.39557741609 0 9653.86399437674 0 0 0 67660.3378682378 0 4422001.43016265 NA NA 1552796.93522807
1950-11-05 11 14 5 1950 0 1181176.56245065 2379.04745900938 0 3001.37885897738 0 0 0 67221.8138303801 0 4516378.7264003 NA NA 1648269.45754935
1950-11-12 11 15 12 1950 141380.767435339 1201896.9 1491.33447918978 0 0 0 0 0 82325.086844425 0 4721130.98095725 NA NA 1819639.27354066
1950-11-19 11 16 19 1950 0 975130.804161739 0 0 0 0 0 0 68073.6758729036 0 5328305.92052357 NA NA 2093385.57983826
1950-11-26 11 17 26 1950 0 1037066.62361373 0 0 0 0 0 0 61387.2993290644 0 5551350.90356849 NA NA 2031449.76038627
1950-12-03 12 18 3 1950 609.830747765256 997521.48 0 0 0 0 0 0 65982.9866968424 0 5928064.17822873 NA NA 1960410.21022823
1950-12-10 12 19 10 1950 0 734379.155113608 0 0 0 0 0 0 74791.2627779055 0 5844049.75681891 NA NA 2549650.35688639
1950-12-17 12 20 17 1950 0 746153.040676664 0 0 0 0 0 0 74792.6628358372 0 6503099.99718346 NA NA 2537876.47132334
1950-12-24 12 21 24 1950 0 880288.290823074 0 0 0 0 0 0 75118.8759072045 0 7221555.72440176 NA NA 2403741.22117693
1950-12-31 12 22 31 1950 19987.6791343819 997521.48 0 0 0 0 0 0 75948.6855420098 0 7809415.53742891 NA NA 2264233.84483362
1951-01-07 1 23 7 1951 0 0 0 0 0 0 0 0 61349.2008979045 0 7986248.23865572 NA NA 3360909.73092972
1951-01-14 1 24 14 1951 360017.232437317 1009169.82 0 0 0 0 11.8393183221456 0 70314.1725543459 0 9268825.18417098 NA NA 1914290.13561068
1951-01-21 1 25 21 1951 205429.226021243 1009169.82 0 0 0 0 11.8393183221458 0 76008.7309707654 0 8965974.09361514 NA NA 2068878.14202676
1951-01-28 1 26 28 1951 107877.632476199 1009169.82 0 0 0 0 11.8393183221458 0 75102.1403717795 0 9087344.26423392 NA NA 2166429.7355718
1951-02-04 2 27 4 1951 71859.7167857136 1021877.1 0 0 0 0 11.8393183221458 0 73782.1797544936 0 9305514.27357509 NA NA 2202447.65126229
1951-02-11 2 28 11 1951 0 1023940.4361204 0 0 0 0 11.8393183221458 0 73101.5635006126 0 9449492.04092482 NA NA 2185625.3758796
1951-02-18 2 29 18 1951 56746.0643605506 1021877.1 0 0 0 0 16.2044669086847 0 64495.598345463 0 9575596.01416825 NA NA 2058934.80896745
1951-02-25 2 30 25 1951 170756.034984917 1021877.1 437.51897953472 0 0 0 10.3574809935085 0 66762.5052072547 0 9457758.82971033 NA NA 1944924.83834308
1951-03-04 3 31 4 1951 51310.4665224089 1021877.1 1088.6810342395 0 0 0 3.8913674672383 0 62390.128082338 0 9166009.54548941 NA NA 2064370.40680559
1951-03-11 3 32 11 1951 188705.542991054 1091767.14 1700.52102878021 0 1820.60812626047 0 0 0 62834.7379313786 0 8829967.9998747 NA NA 1671190.10760095
1951-03-18 3 33 18 1951 252363.984608673 1091767.14 2194.84412758632 0 2475.3908295648 0 0 0 61908.0394653866 0 8191023.57621502 NA NA 1607531.66598333
1951-03-25 3 34 25 1951 582324.141826152 1114004.88 2274.69020349898 0 20317.5896339742 0 0 0 69855.6665462693 0 7629017.77557837 NA NA 1277571.50876585
1951-04-01 4 35 1 1951 593199.991862545 1114004.88 1601.20959758675 0 18027.0059472971 0 0 0 73344.9749635603 0 6949906.60167302 NA NA 1266695.65872945
1951-04-08 4 36 8 1951 31274.3755576098 1189189.62 0 0 0 0 0 0 74256.1582264717 0 15729642.584285 NA NA 1683874.59860239
1951-04-15 4 37 15 1951 0 1120959.61040178 0 56747.054910234 52549.8998218153 0 0 0 61555.9114748823 0 16039819.3533582 NA NA 1785095.84959822
1951-04-22 4 38 22 1951 11306.2653932907 1189189.62 0 0 82236.4360092127 69322.0663624087 0 0 5729.77426741555 0 16930293.928148 NA NA 1884280.34651071
1951-04-29 4 39 29 1951 0 1104850.40644324 0 22929.9124679131 57112.3195008178 53372.1183124329 0 0 30677.9166252415 0 16913432.930137 NA NA 1981823.30955676
1951-05-06 5 40 6 1951 0 1110157.26336824 339.265283840894 29798.9188863856 29088.4684207556 51533.1167076348 0.465307853723289 0 33321.6653516696 0 22134061.1939927 NA NA 2239327.26463176
1951-05-13 5 41 13 1951 0 1112669.52522901 0 26066.1561347646 31054.3138243978 62940.7651771089 4.38537043709766 0 42624.3807533206 0 22595715.8418616 NA NA 2236815.00277099
1951-05-20 5 42 20 1951 0 0 0 0 0 0 12.2955375115612 0 0 0 23277227.4680158 NA NA 4160669.77969906
1951-05-27 5 43 27 1951 0 0 0 0 0 0 45.5995157682844 0 0 0 23277257.399809 NA NA 3871898.30660382
1951-06-03 6 44 3 1951 0 131414.389554308 0 0 0 0 42.7920380233174 0 0 0 21054783.1213384 NA NA 3218070.13844569
1951-06-10 6 45 10 1951 0 0 0 0 0 0 18.5049754252552 0 0 0 15432710.358563 NA NA 3693402.2214454
1951-06-17 6 46 17 1951 0 0 0 0 0 0 0 19457.4580746889 0 0 11004647.8264181 NA NA 4131017.78290092
1951-06-24 6 47 24 1951 0 0 0 0 0 0 0 0 0 0 8727317.38265891 NA NA 3644638.89816754
1951-07-01 7 48 1 1951 0 780736.506451871 0 0 23062.0691213562 64028.248435881 0 0 40054.4806324624 0 7255541.77276091 NA NA 2367954.18554813
1951-07-08 7 49 8 1951 0 0 0 0 0 0 0 0 42597.6503601627 0 5217675.01412255 NA NA 3446541.10767483
1951-07-15 7 50 15 1951 0 0 0 0 0 0 0 0 50206.6290571542 0 3593723.35141077 NA NA 3354037.54588165
1951-07-22 7 51 22 1951 0 330132.387817699 0 12221.0237351865 0 20794.9702094437 0 0 63160.2846699784 0 3089273.51516783 NA NA 2622133.2921823
1951-07-29 7 52 29 1951 0 850267.15389611 0 17779.4367908865 0 72427.844928798 0 0 69870.0147225439 0 3004353.78429743 NA NA 2101998.52610389
1951-08-05 8 1 5 1951 0 682983.817468492 0 22812.6967025029 0 68689.9899278626 0 0 75721.0401434651 0 3114952.91399503 NA NA 2143578.70653151
1951-08-12 8 2 12 1951 397661.962696537 903275.82 0 22729.7510197803 0 103669.450823372 0 0 77843.7387909377 0 3693002.96192205 NA NA 1523701.45459946
1951-08-19 8 3 19 1951 319115.404324954 903275.82 0 24805.4639565359 0 93874.6941376112 0 0 77575.1291659498 0 3621639.19862176 NA NA 1602248.01297105
1951-08-26 8 4 26 1951 688325.143080476 903275.82 0 27342.3265796452 14882.887603398 124069.572536942 0 0 80055.7617934334 0 4009450.2921565 NA NA 1191398.81935152
1951-09-02 9 5 2 1951 683897.029673477 903275.82 0 27879.3346635729 14334.0427339109 124890.313594858 0 0 80253.9057111996 0 4149630.03884998 NA NA 1195826.93275852
1951-09-09 9 6 9 1951 579199.772681348 987991.02 142.82922570093 0 16748.6269127177 0 0 0 86595.7637916613 0 4288898.53579181 NA NA 1159743.17568665
1951-09-16 9 7 16 1951 472173.820890324 987991.02 507.171440992591 0 16765.8961232662 0 1.11435194820206 0 83930.7436092928 0 4354435.05516176 NA NA 1266769.12747768
1951-09-23 9 8 23 1951 437738.540921029 987991.02 0 0 17152.6390248985 0 0 0 84072.7942525623 0 4512187.92779118 NA NA 1301204.40744697
1951-09-30 9 9 30 1951 554139.153466545 987991.02 0 0 25948.0442120074 0 0 0 83405.8879539706 0 4711182.99561189 NA NA 1184803.79490146
1951-10-07 10 10 7 1951 467499.734901592 1124594.28 2446.04996094765 0 21251.6364873503 0 0 0 89644.6079505696 0 4555974.18206932 NA NA 1158421.83597841
1951-10-14 10 11 14 1951 382396.855079448 1124594.28 2205.15898127839 0 21907.3809717519 0 0 0 83183.2978002978 0 4477733.61009821 NA NA 1243524.71580055
1951-10-21 10 12 21 1951 313815.7981875 1124594.28 1812.04381521014 0 19108.1795206121 0 0 0 80473.8549334318 0 4446837.03305534 NA NA 1312105.7726925
1951-10-28 10 13 28 1951 267479.488366347 1124594.28 2405.55007063088 0 14027.8948344388 0 0 0 82352.4608013718 0 4458407.34053536 NA NA 1358442.08251365
1951-11-04 11 14 4 1951 265102.269255576 1201896.9 2236.321751276 0 15168.1659245697 0 0 0 79939.6924161063 0 4558787.88020787 NA NA 1360819.30162442
1951-11-11 11 15 11 1951 208027.573990706 1201896.9 859.945887837362 0 0 0 0 0 87436.1788069592 0 4755954.61569276 NA NA 1752992.46698529
1951-11-18 11 16 18 1951 221978.227214363 1105533.36 0 0 0 0 0 0 83392.5316122598 0 5421244.73372683 NA NA 1739041.81376164
1951-11-25 11 17 25 1951 440149.347200924 1105533.36 0 0 4096.17209190349 0 0 0 86023.1516282502 0 5807575.66695335 NA NA 1520870.69377508
1951-12-02 12 18 2 1951 586088.073883972 997521.48 0 0 10669.2951796763 0 0 0 87639.0983652125 0 6247417.91285544 NA NA 1374931.96709203
1951-12-09 12 19 9 1951 0 866161.044753006 0 0 0 0 0 0 84615.7127181864 0 6096551.95095689 NA NA 2417868.46724699
1951-12-16 12 20 16 1951 0 848311.560129546 0 0 0 0 0 0 78612.5691494437 0 6930380.20725578 NA NA 2435717.95187045
1951-12-23 12 21 23 1951 94706.1818831251 997521.48 0 0 0 0 0 0 82919.5147992849 0 7702509.20008457 NA NA 2189515.34208487
1951-12-30 12 22 30 1951 201653.647423927 997521.48 0 0 0 0 0 0 83962.372034281 0 8154409.48845656 NA NA 2082567.87654407
1952-01-06 1 23 6 1952 0 568613.981032854 0 0 0 0 0 0 75708.2733731205 0 8362333.77484892 NA NA 2717139.79096715
1952-01-13 1 24 13 1952 621137.36566331 1009169.82 0 0 3984.01079592083 0 11.8393183221458 0 80384.787304638 0 9272289.57112719 NA NA 1653170.00238469
1952-01-20 1 25 20 1952 306427.885357202 1009169.82 0 0 0 0 11.8393183221458 0 80407.2530426911 0 9007624.631975 NA NA 1967879.4826908
1952-01-27 1 26 27 1952 234620.007610785 1009169.82 0 0 0 0 11.8393183221458 0 80572.0945541057 0 9209978.1937817 NA NA 2039687.36043722
1952-02-03 2 27 3 1952 221334.610298587 1021877.1 0 0 0 0 11.8393183221458 0 82639.3362517997 0 9452058.15171485 NA NA 2052972.75774941
1952-02-10 2 28 10 1952 0 890028.733356771 0 0 0 0 11.8393183221458 0 85906.5126178751 0 9645771.48039455 NA NA 2319537.07864323
1952-02-17 2 29 17 1952 630488.694479899 1021877.1 0 0 14206.787525504 0 16.2044669086847 0 86354.3726898029 0 10256017.1286245 NA NA 1485192.1788481
1952-02-24 2 30 24 1952 595923.510906872 1021877.1 0 0 10391.5071952712 0 10.3574809935085 0 75621.4602400582 0 9811156.90365639 NA NA 1519757.36242113
1952-03-02 3 31 2 1952 295766.064602405 1021877.1 952.385114662209 0 0 0 3.8913674672383 0 69021.6435821698 0 9357418.28257638 NA NA 1819914.80872559
1952-03-09 3 32 9 1952 672295.42196571 1091767.14 2413.96271923583 0 16360.4740488667 0 0 0 82252.8063173739 0 8850960.02008634 NA NA 1187600.22862629
1952-03-16 3 33 16 1952 578488.75272136 1091767.14 2381.79789741423 0 13640.8999905328 0 0 0 75443.1285832655 0 8078842.40273969 NA NA 1281406.89787064
1952-03-23 3 34 23 1952 0 1048711.7462418 0 0 0 0 0 0 51933.8788097242 0 7486793.23120228 NA NA 1927050.5417582
1952-03-30 3 35 30 1952 0 0 0 0 0 0 0 0 45943.3617041881 0 6584459.35601426 NA NA 3045879.65027311
1952-04-06 4 36 6 1952 0 749382.501634101 0 0 0 0 0 0 43626.4942135272 0 15281285.9656024 NA NA 2156672.9583659
1952-04-13 4 37 13 1952 0 1189189.62 0 53894.6499611592 59875.8387558587 0 0 0 63647.9008173426 0 15148963.0814967 NA NA 1715793.86928398
1952-04-20 4 38 20 1952 102801.44455618 1189189.62 0 18046.3298990436 73788.0913809689 73931.7772831043 0 0 31143.1190678812 0 15859409.9077849 NA NA 1792785.16734782
1952-04-27 4 39 27 1952 0 1102706.76540099 0 34023.0523966964 51007.6263081011 66692.9747617885 0 0 50832.1158114583 0 15853451.2891559 NA NA 1983966.95059901
1952-05-04 5 40 4 1952 0 0 0 18194.5794498507 0 0 0 0 30410.4978541203 0 19714631.5560777 NA NA 3353305.51184547
1952-05-11 5 41 11 1952 0 20956.8465463354 0 17798.2078129582 0 0 7.90628832702942 0 33386.178514794 0 19201606.3464571 NA NA 3328527.68145366
1952-05-18 5 42 18 1952 0 0 0 0 0 0 7.94349154266911 0 16158.5598106833 0 19248670.5915699 NA NA 3472935.17210775
1952-05-25 5 43 25 1952 0 836865.354431982 0 0 18681.6597455805 38628.1341320701 18.4507760578499 0 20067.3590670957 0 19193931.3148557 NA NA 2512619.17356802
1952-06-01 6 44 1 1952 0 1237443.79226742 0 0 55570.7866105196 54642.8662904136 19.4438174102097 0 11119.6121894569 0 17618922.858637 NA NA 2112040.73573258
1952-06-08 6 45 8 1952 0 24776.3207306371 0 0 10762.03721347 0 1.21316954095573 0 0 0 14584042.7969136 NA NA 3123914.37126936
1952-06-15 6 46 15 1952 0 0 0 0 0 0 0.318576294425611 0 0 0 12698643.721957 NA NA 3680952.67568677
1952-06-22 6 47 22 1952 0 0 0 22977.7906778263 0 0 0 0 39653.8539353874 0 10077208.1809535 NA NA 3433027.5679274
1952-06-29 6 48 29 1952 0 613730.654530932 0 9668.29651440596 17730.1141559662 70634.1996024495 0 0 65982.9043601811 0 8363703.97132178 NA NA 2534960.03746907
1952-07-06 7 49 6 1952 0 0 0 4768.17396815575 0 0 0 0 58626.1756534229 0 6242657.80737133 NA NA 3140275.44753315
1952-07-13 7 50 13 1952 0 0 0 0 0 6601.99552618037 0 0 50185.9854835956 0 4361588.6459397 NA NA 3339490.11330764
1952-07-20 7 51 20 1952 0 0 0 0 0 0 0 0 48126.3037113411 0 3166139.3648511 NA NA 3690832.66888305
1952-07-27 7 52 27 1952 0 263180.22067215 0 13570.3462160586 0 36196.6504760726 0 0 65394.8807355366 0 2563236.43801296 NA NA 2689085.45932785
1952-08-03 8 1 3 1952 0 118502.224351867 0 18874.6785126499 0 39005.8879887941 0 0 68800.8570478277 0 2476763.32130439 NA NA 2708060.29964813
1952-08-10 8 2 10 1952 0 631000.439870005 0 25397.416012801 0 79304.5648983977 0 0 75380.4985617386 0 2766957.01586741 NA NA 2195562.08413
1952-08-17 8 3 17 1952 0 450949.004175345 0 29797.0769458778 0 48759.7870191843 0 0 79721.3866471336 0 2640233.61678736 NA NA 2375613.51982466
1952-08-24 8 4 24 1952 0 745891.882203964 0 30721.1817132505 0 68324.1149428033 0 0 81192.083453763 0 2647966.70387322 NA NA 2038989.50579604
1952-08-31 8 5 31 1952 0 498882.094710194 0 24629.6083593986 0 80759.6268342286 0 0 76609.7987175364 0 2881558.11065729 NA NA 2285999.29328981
1952-09-07 9 6 7 1952 0 709892.866379901 0 0 0 0 0 0 79399.2852999257 0 2923402.5232939 NA NA 2018781.7856201
1952-09-14 9 7 14 1952 0 0 0 0 0 0 0 0 65771.1318784879 0 3193235.28119591 NA NA 2871615.1767134
1952-09-21 9 8 21 1952 0 0 0 0 0 0 0 0 81829.9253803688 0 3313977.63591265 NA NA 2780721.58988005
1952-09-28 9 9 28 1952 0 815284.413895614 0 0 0 0 0 0 80458.9627971936 0 3510558.97208793 NA NA 1913390.23810439
1952-10-05 10 10 5 1952 0 958507.35190223 1300.16399727604 0 0 0 0 0 81035.4279422133 0 3467561.25761457 NA NA 1793636.04809777
1952-10-12 10 11 12 1952 0 1012863.75443211 1787.73079507578 0 0 0 0 0 77596.0460189949 0 3411054.21632078 NA NA 1739279.64556789
1952-10-19 10 12 19 1952 0 1041661.66209413 1792.47366953097 0 0 0 0 0 78738.1643108465 0 3442819.62801681 NA NA 1710481.73790587
1952-10-26 10 13 26 1952 0 1042152.62423414 1806.18599981439 0 0 0 0 0 76945.312764655 0 3538670.87325407 NA NA 1709990.77576586
1952-11-02 11 14 2 1952 0 1144374.97325504 1276.94282345786 0 0 0 0 0 79592.0841050222 0 3711691.47274579 NA NA 1685071.04674496
1952-11-09 11 15 9 1952 0 1157323.88457337 0 0 0 0 0 0 87319.865735009 0 3905010.88508071 NA NA 2007556.03942663
1952-11-16 11 16 16 1952 0 986406.957866709 0 0 0 0 0 0 85000.9825373768 0 4480718.8506469 NA NA 2082109.42613329
1952-11-23 11 17 23 1952 0 1017706.45658137 0 0 0 0 0 0 83943.5338997655 0 4878587.9280038 NA NA 2050809.92741863
1952-11-30 11 18 30 1952 0 922214.702033416 0 0 0 0 0 0 82647.3982420978 0 5448614.47954433 NA NA 2038289.80196658
1952-12-07 12 19 7 1952 0 533386.31587842 0 0 0 0 0 0 76628.5754130097 0 5480230.31804159 NA NA 2750643.19612158
1952-12-14 12 20 14 1952 0 561151.240017701 0 0 0 0 0 0 72753.2865264466 0 6307802.34631417 NA NA 2722878.2719823
1952-12-21 12 21 21 1952 0 836256.325023218 0 0 0 0 0 0 79470.4763835444 0 7028079.51245765 NA NA 2447773.18697678
1952-12-28 12 22 28 1952 0 832639.407695886 0 0 0 0 0 0 66715.7677338253 0 7365401.06400366 NA NA 2451390.10430411
1953-01-04 1 23 4 1953 0 692712.771743392 0 0 0 0 0 0 81021.8706929854 0 7418796.52319327 NA NA 2593041.00025661
1953-01-11 1 24 11 1953 0 0 0 0 0 0 4.84761691945573 0 76398.0933638839 0 7691035.51611304 NA NA 3330145.42533063
1953-01-18 1 25 18 1953 0 350511.237412929 0 0 0 0 10.711994609886 0 68498.8300381518 0 8649197.5413845 NA NA 2935242.53458707
1953-01-25 1 26 25 1953 401719.311170264 1009169.82 0 0 0 0 11.8393183221458 0 80303.7782264136 0 9308447.71576246 NA NA 1872588.05687774
1953-02-01 2 27 1 1953 189518.159825464 1021877.1 0 0 0 0 11.8393183221458 0 82232.4318809398 0 9315453.64518159 NA NA 2084789.20822254
1953-02-08 2 28 8 1953 0 0 0 0 0 0 11.8393183221456 0 82888.3390684001 0 9258568.15545628 NA NA 3224487.03881506
1953-02-15 2 29 15 1953 0 569753.196287613 0 0 0 0 16.0291845204711 0 76261.0594525744 0 10516923.5997602 NA NA 2569922.57571239
1953-02-22 2 30 22 1953 0 970068.36121768 0 0 0 0 22.1003196441279 0 78793.0016296916 0 11019487.3957512 NA NA 2169607.41078232
1953-03-01 3 31 1 1953 0 997264.511285748 289.39915979266 0 0 0 27.6131307362839 0 75184.9856290591 0 11002062.9042143 NA NA 2142411.26071425
1953-03-08 3 32 8 1953 0 291283.290961087 1968.32709290287 0 0 0 33.3301546436078 0 36568.5584093709 0 10367379.7067882 NA NA 2662241.25703891
1953-03-15 3 33 15 1953 0 385016.688546562 0 0 0 0 38.3000569160615 0 43410.5780089885 0 9364221.67577739 NA NA 2568507.85945344
1953-03-22 3 34 22 1953 0 0 0 0 0 0 38.6121205847221 0 5537.43377905281 0 8207466.07885323 NA NA 3276253.38368673
1953-03-29 3 35 29 1953 0 244900.984284857 0 0 0 0 38.1976776448221 0 31460.0811235916 0 6842690.12618881 NA NA 2730861.30371514
1953-04-05 4 36 5 1953 0 0 0 0 0 0 37.5919029482684 0 0 0 15358761.3241799 NA NA 3309534.57818052
1953-04-12 4 37 12 1953 0 0 0 25739.3498952394 0 0 37.4047244524552 0 22992.1808984237 0 14949620.361096 NA NA 2923592.5509796
1953-04-19 4 38 19 1953 0 323732.473019468 0 9000.96428118217 12294.2451936888 44088.9702524399 42.615517582635 0 10678.9302582583 0 16390885.4700555 NA NA 2762941.24298053
1953-04-26 4 39 26 1953 0 0 0 0 0 4004.65016361661 48.1586515264953 0 5479.69178350238 0 16082046.1958509 NA NA 3157891.84327205
1953-05-03 5 40 3 1953 0 636304.436046987 0 33799.4204725878 0 53906.1110924405 54.0568720379147 0 44677.3129947244 0 21404066.2655193 NA NA 2713180.09195301
1953-05-10 5 41 10 1953 0 0 0 0 0 0 54.0568720379147 0 0 0 20550974.7180102 NA NA 3830680.50588207
1953-05-17 5 42 17 1953 0 426856.610172549 0 0 0 0 53.8578864028457 0 0 0 23820774.4868807 NA NA 2922627.91782745
1953-05-24 5 43 24 1953 0 0 0 0 0 0 45.5995157682844 0 0 0 21953549.4632687 NA NA 3668632.47892724
1953-05-31 5 44 31 1953 0 0 0 0 0 0 43.420526035987 0 0 0 19066185.6212297 NA NA 4145539.14143214
1953-06-07 6 45 7 1953 0 0 0 0 0 0 22.9954347302203 0 0 0 15011173.3244415 NA NA 3780642.15252935
1953-06-14 6 46 14 1953 0 0 0 0 0 0 2.20769749056763 0 0 0 12233154.3808209 NA NA 3930298.76243555
1953-06-21 6 47 21 1953 0 0 0 13741.020138061 0 0 4.05279599659912 0 22727.9465946252 0 10309547.4940987 NA NA 3495644.61812785
1953-06-28 6 48 28 1953 0 0 0 1437.94166109369 0 8602.85183465006 0 0 56264.6341639347 0 7433428.10766177 NA NA 3187077.01316997
1953-07-05 7 49 5 1953 0 0 0 4946.29096447394 0 0 0 0 57732.5614407002 0 5562045.92689973 NA NA 3537820.11795419
1953-07-12 7 50 12 1953 0 0 0 3471.14816581628 0 0 0 0 58929.3647417821 0 4325460.1863911 NA NA 3196215.69822174
1953-07-19 7 51 19 1953 0 0 0 6987.41484699841 0 0 0 0 56074.3301558246 0 2525573.81113536 NA NA 3921735.05935965
1953-07-26 7 52 26 1953 0 0 0 21866.0730334493 0 0 0 0 72897.4957410661 0 884270.721203119 NA NA 3228204.98493961
1953-08-02 8 1 2 1953 0 0 0 28388.1671619495 0 0 0 0 76205.5576282414 0 985109.968855262 NA NA 3211932.60833141
1953-08-09 8 2 9 1953 0 122174.508358542 0 32422.23901815 0 44191.5643419329 0 0 79923.119540733 0 1901507.36579166 NA NA 2704388.01564146
1953-08-16 8 3 16 1953 0 896700.445572404 0 33079.3389177669 0 90180.0647405021 0 0 80323.1508799224 0 2571874.22172685 NA NA 1929862.0784276
1953-08-23 8 4 23 1953 0 402845.884139539 0 32313.3093711903 0 72658.6350451935 0 0 79629.3308779492 0 2702975.06161338 NA NA 2382035.50386046
1953-08-30 8 5 30 1953 0 0 0 39263.094804272 0 56152.7024998399 0 0 86869.5243513607 0 3124015.15322825 NA NA 3017932.70296434
1953-09-06 9 6 6 1953 0 0 0 0 0 0 0 0 86374.8840194365 0 3463062.24443585 NA NA 2930771.86091389
1953-09-13 9 7 13 1953 0 18596.9781404415 0 0 0 0 0 0 80452.4505425303 0 3291175.24565611 NA NA 2710077.67385956
1953-09-20 9 8 20 1953 0 482514.771282596 0 0 0 0 0 0 86538.0947235666 0 3712847.31802389 NA NA 2246159.8807174
1953-09-27 9 9 27 1953 0 313876.9243012 0 0 0 0 0 0 82147.8186044829 0 3956715.41999127 NA NA 2414797.7276988
1953-10-04 10 10 4 1953 0 447679.966380706 748.505820230009 0 0 0 0 0 90852.571554419 0 3576281.6434354 NA NA 2304463.43361929
1953-10-11 10 11 11 1953 0 704036.272394894 0 0 0 0 0 0 76929.4634481343 0 3283340.43398148 NA NA 2048107.12760511
1953-10-18 10 12 18 1953 0 69327.7106510985 0 0 0 0 0 0 75292.9908471033 0 3042772.38793878 NA NA 2682815.6893489
1953-10-25 10 13 25 1953 0 255240.112246427 698.815953482644 0 0 0 0 0 80796.580983843 0 2772148.54751843 NA NA 2496903.28775357
1953-11-01 11 14 1 1953 0 759631.935915919 1241.58380853772 0 0 0 0 0 80674.1017853643 0 2767980.52525651 NA NA 2069814.08408408
1953-11-08 11 15 8 1953 0 749607.550488367 0 0 0 0 0 0 89579.7526342814 0 3034421.74953397 NA NA 2415272.37351163
1953-11-15 11 16 15 1953 0 709341.820936713 0 0 0 0 0 0 87648.7463006674 0 3718843.46851907 NA NA 2359174.56306329
1953-11-22 11 17 22 1953 0 753694.661604932 0 0 0 0 0 0 95699.3953987784 0 4145917.15375708 NA NA 2314821.72239507
1953-11-29 11 18 29 1953 0 674013.43330983 0 0 0 0 0 0 86816.8055215913 0 4606076.34248458 NA NA 2286491.07069017
1953-12-06 12 19 6 1953 0 363182.809728668 0 0 0 0 0 0 80939.244788483 0 4428683.02904641 NA NA 2920846.70227133
1953-12-13 12 20 13 1953 0 477664.198199832 0 0 0 0 0 0 81216.3410118532 0 4689201.20065533 NA NA 2806365.31380017
1953-12-20 12 21 20 1953 0 508129.290063724 0 0 0 0 0 0 85023.4339862183 0 4875833.93581243 NA NA 2775900.22193628
1953-12-27 12 22 27 1953 0 120600.256393503 0 0 0 0 0 0 39454.7315282847 0 4960963.19829613 NA NA 3163429.2556065
1954-01-03 1 23 3 1954 0 60481.9500490791 0 0 0 0 0 0 51960.5483701703 0 4078775.40889305 NA NA 3225271.82195092
1954-01-10 1 24 10 1954 0 0 0 0 0 0 0 0 46091.5468873143 0 3498479.83468873 NA NA 3331622.7435866
1954-01-17 1 25 17 1954 0 0 0 0 0 0 0 0 64585.7196960352 0 3297533.34273847 NA NA 3377521.85524563
1954-01-24 1 26 24 1954 0 0 0 0 0 0 0 0 64524.2615550389 0 3446834.79038718 NA NA 3419025.9938341
1954-01-31 1 27 31 1954 0 0 0 0 0 0 0.148845304139058 0 63090.0836867568 0 3754256.94744429 NA NA 3483195.472984
1954-02-07 2 28 7 1954 0 0 0 0 0 0 2.51675753921063 0 60162.6709258076 0 3125944.69957165 NA NA 3434071.64589389
1954-02-14 2 29 14 1954 0 0 0 0 0 0 4.54342423884759 0 48162.6015357158 0 2720763.04650558 NA NA 3410030.42381807
1954-02-21 2 30 21 1954 0 0 0 0 0 0 7.33263618723868 0 41599.0589546872 0 1948734.47660951 NA NA 3447417.86263477
1954-02-28 2 31 28 1954 0 0 0 0 0 0 13.0317396287687 0 8420.88904016587 0 1257656.62928928 NA NA 3267889.03585736
